p_id,item_id,price,category_l1_id,category_l1,category_l2_id,category_l2,category_l3_id,category_l3,category_id,category,description,brand,manufacturer,creation_timestamp,is_deleted,created_date,updated_date,sync_status_id,last_sync_date,sync_error_message,image_url,gender_target,age_group,item_type,gp,weight,color,size,origin,volume,material,sale_status,description_new
17065,0502020000004,99000.0000,1,Babycare,35,"Bình sữa, phụ kiện",7050,Núm ty,7058,Núm ty Dr Brown,Không xác định,Dr.Brown's,Không xác định,1333531544,False,2012-04-04 09:25:44.240,2025-08-18 09:59:19.847000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,36828.0000,,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,0,"Chi tiết sản phẩm                     Tên sản phẩm: Hộp 2 núm ty DrBrown's Options Plus cổ rộng Y cut (Trên 9 tháng)         Loại sản phẩm: Núm ty         Đối tượng sử dụng: Trẻ trên 9 tháng         Thương hiệu: DrBrown's         Điểm nổi bật: Núm vú silicon siêu mềm giúp phát triển cơ hàm của bé thông qua sự cử động lưỡi tự nhiên.                        Hộp 2 núm ty DrBrown's Options Plus cổ rộng Y cut (Trên 9 tháng) là núm ty dành cho trẻ trên 9 tháng của thương hiệu DrBrown's đến từ Mỹ. Núm vú silicon siêu mềm giúp phát triển cơ hàm của bé thông qua sự cử động lưỡi một cách tự nhiên.                        Núm ty silicon mềm mại            Núm vú silicon siêu mềm giúp phát triển cơ hàm của bé thông qua sự cử động lưỡi một cách tự nhiên. Thiết kế đầu núm vừa vặn với vòm miệng bé, mang lại sự thoải mái khi sử dụng.               Thiết kế thông minh            Núm ty DrBrown's Options Plus được thiết kế với lỗ tiết sữa Y cut, phù hợp với nhu cầu ăn cháo đặc của bé trên 9 tháng tuổi, từ đó giúp bé có cảm giác gần gũi hơn trong từng lần bú.               Hướng dẫn sử dụng               Rửa sạch núm ty bằng nước rửa chuyên dụng trước khi sử dụng lần đầu.         Đun sôi núm vú trong vòng 3-5 phút để tiệt trùng sau mỗi lần sử dụng.         Kiểm tra núm vú trước khi cho bé sử dụng, đảm bảo không có dấu hiệu rách hoặc thủng.         Không cho trẻ bú bình khi không có sự giám sát của người lớn.                        Hướng dẫn bảo quản               Bảo quản ở nhiệt độ phòng, nơi khô ráo, thoáng mát.         Tránh ánh nắng mặt trời trực tiếp.         Thay núm ty mới sau khi sử dụng từ 1 - 2 tháng để đảm bảo vệ sinh cho trẻ.                     Lưu ý               Không rửa núm ty bằng xà phòng hoặc nước tẩy rửa.         Không tiệt trùng núm ty bằng lò vi sóng.         Kiểm tra núm vú thường xuyên trước khi sử dụng.                     Thành phần               Silicon cao cấp         Không chứa BPA         Chất đàn hồi tốt"
72370,0010290040150,69000.0000,3292,Thời trang,3958,Cơ cấu hàng cũ,7007,"Thời trang bé trai, bé gái cũ",6987,Bộ quần áo bé gái,Không xác định,Con Cưng,Không xác định,1503046250,False,2017-08-18 08:50:50.713,2025-09-18 16:05:42.360000,,,,Không xác định,Bé Gái,Từ 3Y,Bộ quần áo,0.0000,,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,0,Không xác định
31154,0008010000015,45000.0000,351,Đồ chơi & Sách,2033,0-1Y,2118,Gặm nướu,2121,Gặm nướu khác,"- Chất liệu: Sản phẩm được làm bằng chất liệu silicone mềm, dẻo và nước đã được chưng cất đảm bảo an toàn cho bé. - Dành cho các bé trong giai đoạn mọc răng, giúp làm giảm đau, ngứa lợi cho bé. - Bề mặt có các núm mát-xa nhỏ, mềm mịn, tạo cảm giác dễ chịu cho bé. - Có độ đàn hồi tốt, dễ dàng uốn dẻo, bền đẹp không gây ảnh hưởng tới sức khỏe cho bé. - Thiết kế dạng hình các con vật đồ dùng ngộ nghỉnh, đặc biệt có tay cầm, giúp bé dễ cầm nắm. - Trước khi cho bé sử dụng, bạn có thể cho vào tủ lạnh tạo cảm giác mát lạnh bé thích thú Lưu ý: Không sử dụng nước sôi để khử trùng sản phẩm. Xuất xứ: Thái Lan﻿﻿",Thương hiệu khác,Không xác định,1358501584,False,2013-01-18 09:33:04.260,2025-09-27 00:05:36.233000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,14490.0000,,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,0,"Chi tiết sản phẩm                     Tên sản phẩm: Miếng Gặm Nướu Papa (CEQ004) (Cá hồng)         Chất liệu: Silicone mềm, dẻo và nước đã được chưng cất         Đối tượng sử dụng: Dành cho các bé trong giai đoạn mọc răng         Thương hiệu: Papa         Xuất xứ: Thái Lan         Giá: 45.000₫                     **Miếng Gặm Nướu Papa (CEQ004) (Cá hồng)** là một sản phẩm giúp bé giảm đau trong giai đoạn mọc răng của thương hiệu **Papa đến từ Thái Lan**. Sản phẩm được thiết kế đặc biệt để tạo cảm giác dễ chịu cho bé khi nhai.                        Chất liệu an toàn: Silicone mềm, dẻo           Miếng gặm nướu được làm bằng chất liệu silicone mềm, dẻo và nước đã được chưng cất, đảm bảo an toàn tuyệt đối cho sức khỏe của bé.            Cảm giác dễ chịu: Bề mặt núm mát-xa           Bề mặt có các núm mát-xa nhỏ, mềm mịn, tạo cảm giác dễ chịu và thích thú khi bé sử dụng.            Thiết kế ngộ nghĩnh: Hình động vật với tay cầm           Sản phẩm được thiết kế dạng hình các con vật đồ dùng ngộ nghĩnh, đặc biệt có tay cầm giúp bé dễ cầm nắm và chơi đùa.            Độ đàn hồi tốt: Bền đẹp và dễ sử dụng           Miếng gặm nướu có độ đàn hồi tốt, dễ dàng uốn dẻo, bền đẹp mà không gây ảnh hưởng đến sức khỏe cho bé.            Cảm giác mát lạnh: Hỗ trợ giảm đau           Trước khi cho bé sử dụng, bạn có thể cho vào tủ lạnh tạo cảm giác mát lạnh, giúp bé thích thú và giảm đau nướu.               Hướng dẫn sử dụng               Rửa sạch sản phẩm trước khi cho bé sử dụng.         Để sản phẩm trong tủ lạnh trước khi cho bé sử dụng để tạo cảm giác mát lạnh.         Giám sát bé khi sử dụng để đảm bảo an toàn.                     Hướng dẫn bảo quản               Bảo quản sản phẩm ở nơi khô ráo, thoáng mát.         Không sử dụng nước sôi để khử trùng sản phẩm.         Thường xuyên kiểm tra sản phẩm để đảm bảo không bị hư hỏng.                     Lưu ý               Sản phẩm chỉ dành cho bé trong giai đoạn mọc răng.         Khi sản phẩm có dấu hiệu hư hỏng, không nên cho bé sử dụng.                     Thành phần               Silicone mềm         Nước chưng cất"
46123,0020010000094,401000.0000,2222,Tã,2272,Merries,2275,Merries,2276,Merries_Sơ Sinh,"﻿﻿Tã dán Merries size S 82 miếng là sản phẩm dành cho bé 4-8kg đến từ thương hiệu uy tín Merries của Nhật Bản. Ra đời với công nghệ ""4 siêu"" - siêu mềm mại, siêu thông thoáng, siêu thấm hút, siêu linh hoạt, tã dán Merries trở thành ""người bạn"" của hàng ngàn em bé trên toàn thế giới.﻿﻿﻿Ưu điểm nổi bật. Siêu mềm mại: được làm từ bông siêu mỏng và các hạt thấm hút nhanh, có bề mặt mềm mại, xốp mịn, tiếp xúc nhẹ nhàng, không gây hằn đỏ trên da bé.. Siêu thông thoáng: dựa vào công nghệ siêu thoát khí từ chất liệu màng đáy thoát khí đặc biệt giúp bé yêu cảm thấy luôn dễ chịu, thoải mái. Cha mẹ có thể xóa tan nỗi lo nóng ẩm và hầm hơi do nước tiểu và mồ hôi cũng như kích ứng da do các tác nhân gây hại.. Siêu thấm hút: thiết kế chống tràn khóa chặt chất lỏng đến 6-8 tiếng và không vón cục. Các hạt thấm hút kép cùng với bề mặt tiếp xúc điểm xốp mịn tạo ra những khoảng trống giúp thấm chất lỏng cực nhanh và không bị lan ra khắp bề mặt tã.. Siêu linh hoạt: thiết kế vừa vặn với cơ thể bé với vách chống tràn co dãn và phần eo mềm mại ôm khít, thiết kế phần đáy hình chữ ""W"" không gây cảm giác vướng víu và linh hoạt theo từng chuyển động của bé.. Vạch báo thời gian thay tã thông minh: thay đổi sang màu xanh lá đậm sẽ giúp bố mẹ dễ dàng nhận biết thời điểm cần thiết để thay tã cho bé.Hướng dẫn sử dụng",Merries Nhật,Không xác định,1400062039,False,2014-05-14 10:07:19.603,2025-09-27 00:05:36.233000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,59749.0000,,Không xác định,Không xác định,"Nhật Bản, Nhật Bản",Không xác định,"Giấy, bột giấy, vải không dệt, hạt thấm hút, màng polyolefin, cao su tự nhiên, polyurethane, keo dính.",0,Không xác định
46127,0020010000098,401000.0000,2222,Tã,2272,Merries,2275,Merries,2278,Merries_Tã Quần,"﻿﻿﻿Bỉm tã quần Merries size M 58 miếng là sản phẩm dành cho bé từ 6-11kg đến từ thương hiệu uy tín Merries của Nhật Bản. ﻿﻿﻿﻿Tã quần Merries – một sản phẩm mang tính đột phá đến từ Nhật Bản, khác biệt hoàn toàn so với những loại tã giấy khác trên thị trường, đặc biệt mỏng nhẹ giúp bé tung tăng chạy nhảy suốt 24h mà vẫn khô thoáng và êm dịu.Ưu điểm nổi bật﻿. Siêu mềm mại với bề mặt tiếp xúc điểm xốp mịn và chất liệu mỏng nhẹ, không gây kích ứng lên làn da mỏng manh của bé.. Siêu thông thoáng với chất liệu màng đáy thoát khí đặc biệt. Các đường thun được thiết kế để không khí dễ dàng thổi qua giữa miếng tã và da. Bé sẽ luôn cảm thấy khô ráo ngay cả khi vân động nhiều.. Siêu thấm hút với lõi siêu thấm trung tâm độc đáo giúp thấm hút và khoá chặt một lượng lớn chất lỏng ngay lập tức. Đặc biệt tã không bị vón cục sau khi thấm hút.. Siêu linh hoạt trong chuyển động với thiết kế chữ “W” biến đổi linh hoạt với đáy quần thích ứng theo chuyển động của bé. Đường thun ôm vừa vặn không để lại vết hằn trên da.. Vạch báo thời gian thay tã thông minh: Thay tã khi vạch đổi sang màu xanh lá đậmHướng dẫn sử dụng ﻿﻿",Merries Nhật,Không xác định,1400062040,False,2014-05-14 10:07:20.370,2025-09-27 00:05:36.233000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,65764.0000,,Không xác định,Không xác định,"Nhật Bản, Nhật Bản",Không xác định,"Giấy, bột giấy, vải không dệt, hạt thấm hút, màng polyolefin, cao su tự nhiên, polyurethane, keo dính.",0,Không xác định
79850,0024181040235,49000.0000,3292,Thời trang,3958,Cơ cấu hàng cũ,7007,"Thời trang bé trai, bé gái cũ",6993,Áo bé trai,"Áo thun bé trai tay ngắn CF B078010 Xanh  là sản phẩm với chất liệu cotton mềm mại, thấm hút mồ hôi, đường may kỹ lưỡng chắc chắn sẽ giúp bé thoải mái vận động. Bên cạnh đó, sản phẩm có kiểu dáng cá tính cùng họa tiết đáng yêu sẽ giúp bé thêm phần thời trang. ĐẶC ĐIỂM NỔI BẬT Chất liệu cotton mềm mại Sản phẩm được may từ vải cotton mềm mại cho phép bé thoải mái chơi đùa, vận động mà không cảm thấy khó chịu. Bên cạnh đó, chất liệu cotton không gây kích ứng da và có khả năng thấm hút mồ hôi tốt nên Mẹ không phải lo lắng bé yêu bị nổi rôm, tuyệt đối an toàn khi sử dụng. Thiết kế thoải mái, đáng yêu Thiết kế thoải mái phối cùng họa tiết cá tính sẽ mang đến phong cách thoải mái và không kém phần thời trang cho bé của bạn. Ngoài ra, các đường nối, đường cuốn biên trên sản phẩm không bị nổi cộm gây khó chịu và ngứa da bé cho phép bé vận động dễ dàng. THÔNG TIN SẢN PHẨM Tên sản phẩm: Áo thun bé trai tay ngắn CF B078010 Xanh Thương hiệu: CF Sản xuất tại: CÔNG TY TNHH MAY MẶC HẢI NAM , Việt Nam Chất liệu: 95% Cotton5% Spandex BẢO QUẢN SẢN PHẨM - Hạn chế dùng sản phẩm giặt tẩy - Không ngâm, giặt chung với sản phẩm ra màu - Không giặt trong nước nóng trên 40°C - Nên ủi/là mặt trái sản phẩm",CF (ConCung Fashion),Không xác định,1531847679,False,2018-07-17 17:14:39.277,2025-09-13 14:05:42.670000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Bé Trai,Không xác định,Áo,0.0000,,Xanh,6-9M,Không xác định,Không xác định,Không xác định,0,Không xác định
49907,0008180000017,425000.0000,351,Đồ chơi & Sách,2033,0-1Y,2132,Thảm chơi & kệ chữ A,2135,Thảm xốp mảnh ghép,"- Sản phẩm dành cho bé từ 3 - 36 tháng tuổi. - Nguyên liệu được làm bằng cao su có tính đàn hồi tốt, dùng lót sàn. Giúp bé vừa học vừa chơi mà không lo bị bé yêu bị va đập. - Thảm có nhiều màu sắc, hình các chữ cái và số kích thích bé vừa học vừa chơi, mẹ yên tâm làm việc nhà. Hướng dẫn sử dụng: Nối các tấm xốp với nhau bằng răng nối. Cảnh báo: Không nên cho bé ngậm, cắn hay đưa sản phẩm vào miệng. Thông tin sản phẩm - Tên sản phẩm: Thảm xốp hình chữ 30x30cm, 26 miếng - Chất liệu: Cao su - Kích thước: 30x30x1cm/ miếng. - Khối lượng tịnh: 58g/miếng. - Xuất xứ: Việt Nam - Năm sản xuất: 2018 Sản xuất tại: - Công Ty TNHH SX-TM THOẠI TÂN THÀNH (28/36/23 Lương Thế Vinh, P.Tân Thới Hoà, Q.Tân phú, TP.HCM) Chịu trách nhiệm hàng hóa: - CÔNG TY CỔ PHẦN CON CƯNG (101-103 Trần Quang Khải, P.Tân Định, Q.1, HCM) Lưu ý: Họa tiết và màu sắc có thể thay đổi tùy vào đợt hàng về﻿",Quà tặng không bán,Không xác định,1409855976,False,2014-09-04 18:39:36.000,2025-09-27 00:05:36.233000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,160650.0000,,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,0,"Chi tiết sản phẩm                     Tên sản phẩm: Thảm xốp hình chữ 30x30cm, 26 miếng         Chất liệu: Cao su         Kích thước: 30x30x1cm/miếng         Khối lượng tịnh: 58g/miếng         Xuất xứ: Việt Nam         Năm sản xuất: 2018         Sản xuất tại: Công Ty TNHH SX-TM THOẠI TÂN THÀNH (28/36/23 Lương Thế Vinh, P.Tân Thới Hoà, Q.Tân phú, TP.HCM)         Chịu trách nhiệm hàng hóa: CÔNG TY CỔ PHẦN CON CƯNG (101-103 Trần Quang Khải, P.Tân Định, Q.1, HCM)                        **Thảm xốp hình chữ 30x30cm, 26 miếng** là thảm xốp dành cho bé từ 3 - 36 tháng tuổi của Con Cưng đến từ Việt Nam. Sản phẩm được làm từ cao su có tính đàn hồi tốt, giúp bé học chơi mà không lo bị va đập.                        Thảm xốp hình chữ - Nguyên liệu cao su, tính đàn hồi tốt           Thảm xốp hình chữ với thiết kế nhiều màu sắc, hình các chữ cái và số, giúp bé vừa học vừa chơi, tạo điều kiện cho sự phát triển trí tuệ và thể chất mà mẹ có thể yên tâm làm việc nhà.            Cảnh báo an toàn - Bé không nên ngậm hay cắn           Để đảm bảo an toàn cho trẻ, không nên cho bé ngậm, cắn hoặc đưa sản phẩm vào miệng trong quá trình vui chơi.               Hướng dẫn sử dụng               Nối các tấm xốp với nhau bằng răng nối.                        Hướng dẫn bảo quản               Để sản phẩm ở nơi khô ráo, thoáng mát.         Tránh ánh nắng mặt trời trực tiếp.         Vệ sinh bề mặt sản phẩm bằng vải ẩm khi cần thiết.                     Lưu ý               Họa tiết và màu sắc có thể thay đổi tùy vào đợt hàng về.                     Thành phần               Cao su"
49931,0020010000150,355000.0000,2222,Tã,2257,Huggies,2262,Huggies Thường,2265,Huggies Thường_Tã Quần,"﻿﻿﻿Dòng sản phẩm tã quần Huggies Dry với tinh chất tràm trà tự nhiên sẽ mang đến cho da con cảm giác dễ chịu. Đặc biệt, sản phẩm cũng được chứng minh lâm sàng giúp ngừa hăm tã hiệu quả. Ưu điểm nổi bật. Tã quần Huggies Dry cải tiến mới với công nghệ lưng thun đệm mây, chống hằn da;. Bề mặt tã quần Huggies được bổ sung tinh chất tràm trà tự nhiên giúp mang đến cảm giác dịu da;. Khả năng thoáng khí được chứng minh lâm sàng giúp ngăn ngừa hăm tã, giữ mông bé luôn khô thoáng;. Nhờ chất liệu mềm mại, bỉm Huggies giúp nâng niu làn da nhạy cảm của bé.Hướng dẫn thay tã. Mặt tã như mặt quần của bé với chữ ""SAU-BACK"" ở mặt sau.. Chỉnh tã ôm vừa chân, tránh bị gập vào để chống tràn hiệu quả.. Khi tã bị bẩn, xé đường thun 2 bên hông để cởi bỏ.Hướng dẫn chọn size tã* Sản phẩm sẽ được giao hàng với bao bì ngẫu nhiên. ﻿",Huggies Dry,Không xác định,1410345190,False,2014-09-10 10:33:10.520,2025-09-27 00:05:36.233000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,0.0000,,Không xác định,Không xác định,"Việt Nam, Mỹ",Không xác định,"Vải không dệt,PE, keo dính. hạt thấm hút Polymer, bột giấy, màng polyolefin, polyester, thun đàn hồi, hương thơm, chiết xuất tràm trà.",0,Không xác định
26694,0501030000126,69000.0000,3292,Thời trang,3958,Cơ cấu hàng cũ,7007,"Thời trang bé trai, bé gái cũ",6990,Đầm,Không xác định,Không xác định,Không xác định,1347535512,False,2012-09-13 11:25:12.093,2024-11-01 09:23:50.653000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,0.0000,,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,0,
50189,0020010000151,379000.0000,2222,Tã,2281,Moony,2284,Moony,2285,Moony_Sơ Sinh,"Sản phẩm Tã dán sơ sinh Moony dưới 5kg, 90 miếng với đặc điểm nổi bật: VIỀN ĐIỀU HÒA THÔNG MINH giúp tã cong ôm vừa vặn cơ thể bé, chống trào hiệu quả. MÀNG VẢI LƯNG THUN 3 VÒNG CO GIÃN 360° giúp khô thoáng cả ngày dài, không lo bị hầm bí và hăm đỏ RÃNH RỐN OHESO giúp bảo vệ phần rốn non nớt của bé sơ sinh SỢI NANO SIÊU MỀM MỊN nhẹ nhàng nâng niu làn da nhạy cảm, mong manh của bé LÕI BÔNG CAO CẤP siêu chống trào CHỈ THỊ ƯỚT giúp báo hiệu cho mẹ thời điểm thay tã cho bé - Bỉm tã Moony là loại bỉm nổi tiếng tại Nhật Bản được sản xuất bởi tập đoàn Unicharm danh tiếng. - Thấm hút rất tốt, với lớp bông mềm và lớp thoáng khí, tạo cảm giác thoải mái, khô thoáng, dễ chịu cho bé. - Đặc biệt Bỉm tã Moony có chất dưỡng da và Vitamin E giúp chống hăm cho bé. - Lưng thun được thiết kế co dãn rất hợp lí, chống trào ngược lên áo khi bé nằm. Các bé sẽ được hưởng cảm giác vừa vặn, êm ái đặc biệt với những bé còn nhỏ phải dùng bỉm 24/24h. - Độ thấm hút cao, tuyệt đối an toàn cho bé Moony với thiết kế chống tràn ra ngoài, bảo vệ bé tốt nhất. - Tã bỉm Moony Nhật có cả miếng dán và quần, rất tiện dụng. THÔNG TIN SẢN PHẨM: Hướng dẫn sử dụng: - Mặt sau tã có miếng dán cố định. Mở miếng tã mới và tròng vào chân bé, kéo CAO ngang hông. - Kéo chắc tay phần băng dính để tã vừa thật khít phần LƯNG hoàn toàn có thể co giãn nên mẹ không phải lo tã ôm quá chặt. Lưu ý: - Đảm bảo vùng đai lưng tã nằm trên rốn bé - Khi dán, nên căng phần băng dính sao cho vùng chống tràn sau lưng được kéo ra Hướng dẫn bảo quản: - Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp, để xa tầm tay trẻ em. ﻿",Moony,Không xác định,1411059903,False,2014-09-18 17:05:03.240,2025-09-27 00:05:36.233000,2.0,2025-07-18 17:59:29.898256,,Không xác định,Không xác định,Không xác định,Không xác định,0.0000,,Không xác định,Không xác định,Nhật Bản,Không xác định,Không xác định,0,"Chi tiết sản phẩm                     Tên sản phẩm: Bỉm - Tã dán Moony newborn 90 miếng (         Thương hiệu: Unicharm         Xuất xứ thương hiệu: Nhật Bản         Kích cỡ (size): Newborn,          Số miếng: 90                     Bỉm - Tã dán Moony newborn 90 miếng ( là bỉm tã dán dành cho bé sơ sinh của thương hiệu Moony đến từ Nhật Bản. Với viền điều hòa thông minh, sản phẩm giúp bé thoải mái mà không lo trào tã.                           Viền điều hòa thông minh giúp sản phẩm ôm vừa vặn cơ thể bé, chống trào hiệu quả.                 Viền điều hòa thông minh là tính năng giúp tã Moony cong ôm vừa vặn cơ thể bé, ngăn ngừa nguy cơ trào tã, mang lại sự thoải mái tốt nhất cho trẻ nhỏ.               Màng vải lưng thun 3 vòng co giãn 360° giúp khô thoáng cả ngày dài.           Màng vải này giúp tã không bị hầm bí và hăm đỏ, cho bé thoải mái tiếp xúc với không khí, mỗi cử động đều dễ dàng và không bị cản trở.               Rãnh rốn Oheso bảo vệ phần rốn non nớt của bé sơ sinh.           Rãnh rốn OHESO được thiết kế riêng, giúp bảo vệ phần rốn nhạy cảm của trẻ, tạo cảm giác thoải mái nhất cho các bé ngay từ những ngày đầu đời.               Sợi Nano siêu mềm mịn nhẹ nhàng nâng niu làn da nhạy cảm.           Chất liệu sợi Nano giúp tã Moony siêu nhẹ, mang lại cảm giác mềm mại và dễ chịu cho làn da của bé yêu, giảm thiểu tình trạng kích ứng da.            Lõi bông cao cấp siêu chống trào.           Lõi bông được thiết kế để thấm hút cực tốt, giúp sản phẩm giữ cho bé luôn khô thoáng, mà không lo bị tràn ra ngoài.            Chỉ thị ướt báo hiệu thời điểm thay tã cho bé.           Thêm vào đó, chỉ thị ướt tiện lợi giúp mẹ nhanh chóng nhận biết khi nào cần thay tã cho bé, mang lại sự tiện lợi và chăm sóc tốt nhất.               Hướng dẫn chọn size      Chọn đúng size tã cho bé là rất quan trọng. Với tã Moony, size Newborn (               Hướng dẫn sử dụng               Mặt sau tã có miếng dán cố định. Mở miếng tã mới và tròng vào chân bé, kéo CAO ngang hông.         Kéo chắc tay phần băng dính để tã vừa thật khít, phần lưng hoàn toàn có thể co giãn nên mẹ không phải lo tã ôm quá chặt.                     Hướng dẫn bảo quản               Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp.         Để xa tầm tay trẻ em.                     Lưu ý               Đảm bảo vùng đai lưng tã nằm trên rốn bé.         Khi dán, nên căng phần băng dính sao cho vùng chống tràn sau lưng được kéo ra.                     Thành phần               Màng thấm: vải không dệt (Polyolefin, Polyester)         Lõi thấm: bột giấy, hạt siêu thấm         Màng đáy: Polyolefin         Tai dính: Polyolefin, Chun sợi, Polyurethane, polyme kết dính"
